BJD_TDB,NormFlux,NormFluxError
2459733.94338,1.0111,0.0136
2459733.94522,0.9935,0.0138
2459733.94699,1.0074,0.0141
2459733.94876,1.0,0.014
2459733.95054,0.9918,0.0146
2459733.95586,0.842,0.0208
2459733.95764,0.4267,0.0182
2459733.95941,0.5665,0.037
2459733.96118,0.9872,0.013
2459733.96295,0.9776,0.0126
2459733.96473,0.9878,0.0124
2459733.96651,0.9744,0.0129
2459733.96828,0.9889,0.0143
2459733.97006,0.9842,0.0132
2459733.97183,1.018,0.0129
2459733.9736,1.0014,0.0138
2459733.97538,0.9863,0.0133
2459733.97715,0.9857,0.0144
2459733.97893,0.9994,0.0156
2459733.9807,1.0015,0.0145
