BJD_TDB,NormFlux,NormFluxError
2459661.89959,1.0025,0.0044
2459661.9039,1.0022,0.0033
2459661.90474,1.0034,0.0032
2459661.90559,0.9975,0.0032
2459661.90643,0.9985,0.0032
2459661.90728,1.0045,0.0032
2459661.90812,1.0023,0.0032
2459661.90897,1.0031,0.0032
2459661.90981,0.9975,0.0032
2459661.91066,1.0011,0.0032
2459661.9115,0.9988,0.0032
2459661.91235,1.0,0.0032
2459661.91319,0.9933,0.0031
2459661.91404,0.9955,0.0032
2459661.91488,0.9965,0.0032
2459661.91573,0.9961,0.0031
2459661.91657,1.001,0.0032
2459661.91742,0.9987,0.0032
2459661.91827,0.9986,0.0031
2459661.91911,0.9998,0.0031
2459661.91996,0.9978,0.0031
2459661.9208,0.9981,0.0031
2459661.92165,1.0046,0.0032
2459661.92249,0.9967,0.0031
2459661.92418,0.996,0.0031
2459661.92503,0.998,0.0031
2459661.92587,1.0,0.0031
2459661.92672,1.0,0.0031
2459661.92756,1.0031,0.0031
2459661.92841,0.9929,0.0031
2459661.92925,0.9986,0.0031
2459661.9301,0.9928,0.0031
2459661.93094,1.0012,0.0031
2459661.93178,0.9994,0.0031
2459661.93263,0.9952,0.0031
2459661.93347,0.9986,0.0031
2459661.93432,0.998,0.0031
2459661.93517,0.9952,0.003
2459661.93601,0.9932,0.003
2459661.93685,0.9991,0.0031
2459661.9377,0.9975,0.0031
2459661.93855,0.9867,0.003
2459661.93939,0.989,0.003
2459661.94024,0.9884,0.003
2459661.94108,0.9941,0.003
2459661.94193,0.9829,0.003
2459661.94277,0.9917,0.003
2459661.94362,0.9854,0.003
2459661.94446,0.9868,0.003
2459661.94531,0.9876,0.003
2459661.94615,0.9816,0.003
2459661.94784,0.9867,0.003
2459661.94869,0.982,0.003
2459661.94953,0.9875,0.003
2459661.95038,0.9842,0.003
2459661.95122,0.99,0.003
2459661.95207,0.9864,0.003
2459661.95291,0.9825,0.003
2459661.95376,0.9849,0.003
2459661.9546,0.9832,0.003
2459661.95545,0.9846,0.003
2459661.95629,0.9869,0.003
2459661.95714,0.9884,0.003
2459661.95798,0.9874,0.003
2459661.95883,0.982,0.0029
2459661.95967,0.9827,0.003
2459661.96052,0.9816,0.0029
2459661.96136,0.9877,0.003
2459661.96221,0.9783,0.0029
2459661.96305,0.9867,0.003
2459661.9639,0.989,0.003
2459661.96474,0.9808,0.0029
2459661.96559,0.9884,0.003
2459661.96644,0.9808,0.0029
2459661.96728,0.9829,0.0029
2459661.96813,0.9837,0.0029
2459661.96897,0.9861,0.003
2459661.96982,0.9858,0.0029
2459661.97066,0.982,0.0029
2459661.97151,0.9837,0.003
2459661.97235,0.9862,0.003
2459661.9732,0.9852,0.0029
2459661.97404,0.9854,0.0029
2459661.97489,0.9888,0.003
2459661.97573,0.9795,0.0029
2459661.97658,0.991,0.003
2459661.97742,0.98,0.0029
2459661.97827,0.9834,0.0029
2459661.97911,0.989,0.003
2459661.97996,0.9868,0.003
2459661.9808,0.9791,0.0029
2459661.98165,0.9842,0.003
2459661.98249,0.9835,0.003
2459661.98334,0.983,0.003
2459661.98418,0.9882,0.003
2459661.98503,0.9835,0.003
2459661.98587,0.9856,0.003
2459661.98671,0.9824,0.003
2459661.98756,0.9804,0.003
2459661.98841,0.9849,0.0031
2459661.98925,0.9827,0.0031
2459661.9901,0.9828,0.0031
2459661.99094,0.9818,0.0031
2459661.99179,0.9896,0.0031
2459661.99263,0.987,0.0031
2459661.99348,0.9784,0.0031
2459661.99432,0.9755,0.0031
2459661.99517,0.9808,0.0031
2459661.99601,0.991,0.0032
2459661.99686,0.9847,0.0031
2459661.9977,0.9777,0.0031
2459661.99855,0.98,0.0031
2459661.99939,0.9906,0.0032
2459662.00024,0.9812,0.0031
2459662.00108,0.9862,0.0032
2459662.00193,0.9826,0.0031
2459662.00277,0.9768,0.0031
2459662.00362,0.9775,0.0031
2459662.00446,0.9866,0.0031
2459662.00531,0.9868,0.0031
2459662.00616,0.9835,0.0031
2459662.007,0.9788,0.0031
2459662.00785,0.9884,0.0031
2459662.00869,0.9816,0.0031
2459662.00954,0.9847,0.0031
2459662.01038,0.9874,0.0031
2459662.01123,0.9925,0.0032
2459662.01207,0.9859,0.0031
2459662.01292,0.9851,0.0031
2459662.01376,0.9855,0.0031
2459662.01461,0.9843,0.0031
2459662.01545,0.9899,0.0032
2459662.0163,0.9845,0.0031
2459662.01715,0.9864,0.0031
2459662.01799,0.9888,0.0031
2459662.01884,0.9845,0.0031
2459662.01968,0.9876,0.0031
2459662.02053,0.9834,0.0031
2459662.02137,0.9859,0.0031
2459662.02222,0.9906,0.0031
2459662.02306,0.9836,0.0031
2459662.02391,0.9849,0.0031
2459662.02475,0.9902,0.0031
2459662.0256,0.9866,0.0031
2459662.02644,0.9902,0.0031
2459662.02729,0.9852,0.0031
2459662.02813,0.9891,0.0031
2459662.02898,0.9895,0.0031
2459662.02982,0.9899,0.0031
2459662.03067,0.9968,0.0032
2459662.03236,0.9957,0.0032
2459662.0332,0.9928,0.0031
2459662.03405,0.9938,0.0032
2459662.03574,0.9967,0.0032
2459662.03659,0.9965,0.0032
2459662.03743,0.9986,0.0032
2459662.03828,0.9944,0.0032
2459662.03912,0.9991,0.0032
2459662.03997,1.0044,0.0032
2459662.04081,0.9941,0.0032
2459662.04166,1.0035,0.0032
2459662.04251,1.0015,0.0032
2459662.04335,0.9983,0.0032
2459662.04504,0.9995,0.0032
2459662.04588,0.9987,0.0032
2459662.04673,1.0029,0.0033
2459662.04758,1.001,0.0033
2459662.04842,0.9973,0.0033
2459662.04927,1.0,0.0033
2459662.05011,1.0025,0.0034
2459662.05096,1.0043,0.0034
2459662.0518,1.0003,0.0035
2459662.05265,1.0033,0.0036
2459662.05434,1.0005,0.0038
