BJD_TDB,NormFlux,NormFluxError
2459737.80012,1.0023,0.0022
2459737.80079,1.0007,0.0022
2459737.80145,0.9976,0.0022
2459737.80212,1.0033,0.0022
2459737.80279,1.0007,0.0022
2459737.80345,0.9999,0.0022
2459737.80411,1.0,0.0022
2459737.80478,0.9982,0.0022
2459737.80544,0.9999,0.0022
2459737.80611,1.0011,0.0022
2459737.80678,0.9992,0.0022
2459737.80744,0.9984,0.0022
2459737.80811,1.0,0.0022
2459737.80877,1.0029,0.0022
2459737.80944,0.9991,0.0022
2459737.8101,0.9997,0.0022
2459737.81076,0.9987,0.0022
2459737.81142,1.0005,0.0022
2459737.81209,0.9995,0.0023
2459737.81275,0.9991,0.0029
2459737.81342,0.9991,0.0023
2459737.81408,1.0001,0.0022
2459737.81474,1.0029,0.0022
2459737.81541,1.0028,0.0022
2459737.81607,1.001,0.0022
2459737.81673,0.9975,0.0022
2459737.81739,0.9982,0.0022
2459737.81805,1.0003,0.0022
2459737.81872,1.0013,0.0022
2459737.81938,1.001,0.0022
2459737.82004,1.0001,0.0022
2459737.8207,0.994,0.0021
2459737.82137,1.0021,0.0022
2459737.82203,0.9962,0.0021
2459737.82269,1.0044,0.0022
2459737.82336,0.9958,0.0022
2459737.82402,0.9988,0.0022
2459737.82468,0.9967,0.0022
2459737.82535,1.0041,0.0022
2459737.82601,0.9996,0.0022
2459737.82668,1.0031,0.0022
2459737.82735,0.9963,0.0021
2459737.82801,0.9993,0.0022
2459737.82868,0.9986,0.0022
2459737.82934,0.997,0.0022
2459737.83001,0.9957,0.0021
2459737.83067,0.9967,0.0022
2459737.83134,0.9901,0.0021
2459737.83201,0.9924,0.0021
2459737.83267,0.9982,0.0022
2459737.83334,0.9917,0.0021
2459737.834,0.9984,0.0022
2459737.83466,0.9912,0.0021
2459737.83532,0.9911,0.0021
2459737.83599,0.9917,0.0021
2459737.83665,0.9878,0.0021
2459737.83732,0.987,0.0023
2459737.83798,0.9931,0.0022
2459737.83865,0.9874,0.0022
2459737.83931,0.9896,0.0022
2459737.83998,0.9847,0.0021
2459737.84064,0.9834,0.0021
2459737.8413,0.9851,0.0021
2459737.84196,0.9881,0.0021
2459737.84262,0.987,0.0021
2459737.84329,0.9855,0.0022
2459737.84395,0.9858,0.0022
2459737.84461,0.9905,0.0022
2459737.84527,0.9868,0.0022
2459737.84594,0.9847,0.0023
2459737.8466,0.9833,0.0023
