BJD_TDB,NormFlux,NormFluxError
2459687.80741,0.9949,0.0063
2459687.80809,0.9994,0.0065
2459687.80877,0.9871,0.007
2459687.80945,1.0104,0.0065
2459687.81014,1.0,0.0061
2459687.81082,1.0016,0.0062
2459687.8115,0.9897,0.0067
2459687.81219,1.0046,0.0082
2459687.81287,1.0029,0.0066
2459687.81355,1.0026,0.0065
2459687.81423,0.9968,0.0064
2459687.81492,1.0053,0.0067
2459687.8156,0.9909,0.0064
2459687.81628,1.0039,0.0064
2459687.81697,0.9925,0.0066
2459687.81765,1.0013,0.0066
2459687.81833,1.0097,0.0066
2459687.81901,1.0006,0.0094
2459687.82038,1.0067,0.0094
2459687.82106,1.0014,0.0066
2459687.82174,1.0003,0.0066
2459687.82243,0.9929,0.0061
2459687.82311,0.9927,0.0061
2459687.82379,1.0047,0.0061
2459687.82447,0.995,0.006
2459687.82516,0.9812,0.006
2459687.82584,1.0067,0.0064
2459687.82652,0.9974,0.0065
2459687.82721,0.9973,0.0069
2459687.82789,0.9889,0.009
2459687.82857,0.9873,0.0069
2459687.82925,0.9944,0.0073
2459687.82994,0.9964,0.0063
2459687.8313,0.9834,0.0067
2459687.83198,1.0039,0.0062
2459687.83267,1.0025,0.006
2459687.83335,1.0002,0.006
2459687.83403,1.0035,0.0081
2459687.8354,0.993,0.0061
2459687.83608,0.9886,0.0061
2459687.83676,0.9989,0.0069
2459687.83814,0.996,0.0057
2459687.83882,0.9965,0.0056
2459687.8395,0.9986,0.0056
2459687.84019,0.9966,0.0068
2459687.84087,0.9817,0.0073
2459687.84155,0.9912,0.0085
2459687.84223,0.9981,0.0104
2459687.84292,0.9976,0.0114
2459687.8436,1.0019,0.0084
2459687.84428,0.9998,0.0086
2459687.84496,0.9924,0.0091
2459687.84565,0.9922,0.0066
2459687.84633,0.9785,0.0069
2459687.84701,0.9889,0.012
2459687.84838,1.006,0.0082
2459687.84906,0.9904,0.0092
2459687.84974,0.996,0.0097
2459687.85111,0.9856,0.0076
2459687.85179,0.995,0.0064
2459687.85247,0.9868,0.0084
2459687.85316,0.985,0.0079
2459687.85452,0.9902,0.0122
2459687.85521,0.9792,0.0113
2459687.85657,0.9928,0.0077
2459687.85726,0.9916,0.007
2459687.85794,0.9834,0.0065
2459687.85862,0.99,0.0065
2459687.8593,0.9894,0.0066
2459687.86067,0.9848,0.0072
2459687.86135,0.9805,0.0065
2459687.86203,0.9863,0.0079
2459687.86272,0.9907,0.0086
2459687.8634,0.9759,0.0086
2459687.86408,0.9675,0.0072
2459687.86477,0.968,0.0065
2459687.86545,0.9815,0.0065
2459687.86613,0.988,0.0068
2459687.86681,0.9758,0.0062
2459687.8675,0.9705,0.0062
2459687.86886,0.9872,0.0059
2459687.86954,0.9773,0.0053
2459687.87023,0.9867,0.0057
2459687.87091,0.9835,0.0073
2459687.87159,0.9716,0.0054
2459687.87228,0.9782,0.007
2459687.87296,0.9795,0.0056
2459687.87364,0.9705,0.0057
2459687.87432,0.9784,0.0061
2459687.87501,0.9804,0.0068
2459687.87569,0.985,0.0058
2459687.87637,0.9901,0.0064
2459687.87705,0.9847,0.0064
2459687.87774,0.9756,0.0061
2459687.87842,0.9738,0.0054
2459687.8791,0.981,0.0051
2459687.87979,0.9863,0.0064
2459687.88047,0.9849,0.0061
2459687.88115,0.9885,0.0055
2459687.88183,0.9908,0.0059
2459687.88252,0.9806,0.0055
2459687.8832,0.9813,0.006
2459687.88388,0.9835,0.0065
