BJD_TDB,NormFlux,NormFluxError
2459762.73687,1.0038,0.0033
2459762.73865,0.9968,0.0033
2459762.74044,1.0051,0.0033
2459762.74222,1.0008,0.0033
2459762.74401,1.0002,0.0033
2459762.7458,0.9998,0.0033
2459762.74759,1.0004,0.0033
2459762.74938,0.9971,0.0033
2459762.75117,0.9991,0.0033
2459762.75296,1.0028,0.0033
2459762.75475,0.9945,0.0033
2459762.75654,0.9972,0.0033
2459762.75833,1.0028,0.0033
2459762.76012,0.9997,0.0032
2459762.76191,1.0004,0.0032
2459762.76369,0.9954,0.0032
2459762.76548,0.9969,0.0033
2459762.76727,0.9867,0.0032
2459762.76906,0.9922,0.0032
2459762.77085,0.979,0.0032
2459762.77264,0.9749,0.0032
2459762.77443,0.9691,0.0032
2459762.77622,0.9722,0.0032
2459762.778,0.9681,0.0032
2459762.7798,0.9624,0.0032
2459762.78159,0.9668,0.0032
2459762.78337,0.9627,0.0032
2459762.78516,0.9583,0.0032
2459762.78695,0.957,0.0032
2459762.78874,0.9606,0.0033
2459762.79054,0.9603,0.0033
2459762.79232,0.9561,0.0032
2459762.80494,0.9652,0.003
2459762.80673,0.9621,0.003
2459762.80852,0.9646,0.003
2459762.81031,0.9608,0.003
2459762.8121,0.97,0.003
2459762.81388,0.9716,0.003
2459762.81568,0.9722,0.003
2459762.81747,0.9755,0.003
2459762.81926,0.9909,0.003
2459762.82105,0.9923,0.003
2459762.82284,0.9925,0.003
2459762.82463,0.9997,0.003
2459762.82642,0.9977,0.003
2459762.82821,0.9941,0.003
2459762.83,1.001,0.003
2459762.83179,0.9963,0.003
2459762.83358,0.9929,0.003
2459762.83537,0.9956,0.003
2459762.83716,0.9899,0.0029
2459762.83894,0.9987,0.0029
2459762.84073,0.9915,0.0029
2459762.84253,0.9983,0.0029
2459762.84432,0.9968,0.0029
2459762.84611,0.998,0.0029
2459762.84801,0.9947,0.0029
2459762.8498,0.9976,0.0029
2459762.85159,0.993,0.0029
2459762.85338,0.995,0.0029
2459762.85517,0.9973,0.0029
2459762.85696,0.9961,0.0029
