BJD_TDB,NormFlux,NormFluxError
2459663.94008,0.9947,0.0036
2459663.94279,0.9948,0.0031
2459663.94596,0.9959,0.0028
2459663.94877,1.0,0.0024
2459663.95193,0.9933,0.0024
2459663.95527,0.9836,0.0022
2459663.95877,0.978,0.0022
2459663.96228,0.9722,0.0022
2459663.96579,0.9678,0.0022
2459663.9693,0.9638,0.0022
2459663.9728,0.9662,0.0022
2459663.97631,0.9607,0.0022
2459663.97982,0.96,0.0022
2459663.98332,0.959,0.0021
2459663.98683,0.9631,0.0021
2459663.99034,0.9642,0.0021
2459663.99384,0.9674,0.0021
2459663.99735,0.9726,0.0021
2459664.00095,0.9761,0.0021
2459664.00445,0.9854,0.0021
2459664.00796,0.9926,0.0021
2459664.01147,1.0002,0.0021
2459664.01498,1.0,0.0021
2459664.01848,0.9943,0.0021
2459664.02199,1.0,0.0021
2459664.0255,0.999,0.0021
2459664.029,1.0013,0.0021
2459664.03251,0.9977,0.0021
2459664.03602,1.0,0.0022
2459664.03953,1.0011,0.0023
