BJD_TDB,NormFlux,NormFluxError
2459714.88835,0.9969,0.0047
2459714.89012,0.9828,0.0046
2459714.8919,0.9845,0.0046
2459714.89367,0.9729,0.0046
2459714.89545,0.9784,0.0046
2459714.89723,0.9772,0.0046
2459714.89901,0.9634,0.0045
2459714.90078,0.9741,0.0046
2459714.90256,0.9682,0.0045
2459714.90433,0.9653,0.0045
2459714.90611,0.9617,0.0045
2459714.90789,0.9658,0.0045
2459714.90966,0.9637,0.0044
2459714.91144,0.9634,0.0044
2459714.91321,0.9615,0.0044
2459714.91499,0.9623,0.0044
2459714.91676,0.9699,0.0044
2459714.91854,0.9738,0.0044
2459714.92032,0.9602,0.0044
2459714.92209,0.9652,0.0044
2459714.92387,0.971,0.0044
2459714.92564,0.9625,0.0044
2459714.92742,0.9634,0.0044
2459714.9292,0.9661,0.0044
2459714.93097,0.9702,0.0043
2459714.93275,0.9696,0.0043
2459714.93452,0.9756,0.0043
2459714.9363,0.9749,0.0043
2459714.93808,0.9793,0.0043
2459714.93985,0.9882,0.0043
2459714.94163,0.9843,0.0043
2459714.9434,0.9941,0.0043
2459714.94518,1.0059,0.0043
2459714.94696,0.9938,0.0043
2459714.94873,1.0057,0.0043
2459714.95051,1.0028,0.0043
2459714.95228,1.0059,0.0043
2459714.95406,1.0045,0.0043
2459714.95583,0.9993,0.0043
2459714.95761,0.9907,0.0042
2459714.95938,0.9979,0.0042
2459714.96116,1.0025,0.0042
2459714.96471,0.9952,0.0042
2459714.96649,1.002,0.0042
2459714.96827,1.0014,0.0042
2459714.97004,1.0062,0.0042
2459714.97182,0.9984,0.0041
2459714.97359,0.9987,0.0041
2459714.97537,1.0013,0.0041
2459714.97715,0.9955,0.0041
2459714.97892,0.9974,0.0041
2459714.9807,1.0044,0.0047
2459714.98247,0.9909,0.0059
