System,Orbit number,T_mid,Uncertainty (days),Time System,#,Reference
WASP-012,-2286.0,2454515.52496,0.00043,BJD_TDB,>1,2020AJ….159..150P; 2009ApJ…693.1920H
WASP-012,-1992.0,2454836.4034,0.00028,BJD_TDB,1,2020AJ….159..150P; 2013MNRAS.434..661C
WASP-012,-1988.0,2454840.76893,0.00062,BJD_TDB,1,2020AJ….159..150P; 2011AJ....141..179C
WASP-012,-1713.0,2455140.90981,0.00042,BJD_TDB,1,2020AJ….159..150P; 2017AJ….153...78C
WASP-012,-1707.0,2455147.45861,0.00043,BJD_TDB,1,2020AJ….159..150P; 2016A&A…588L...6M
WASP-012,-1692.0,2455163.83061,0.00032,BJD_TDB,1,2020AJ….159..150P; 2017AJ….153...78C
WASP-012,-1684.0,2455172.56138,0.00036,BJD_TDB,1,2020AJ….159..150P; 2011AJ....141..179C
WASP-012,-1650.0,2455209.66895,0.00046,BJD_TDB,1,2020AJ….159..150P; 2017AJ….153...78C
WASP-012,-1649.0,2455210.76151,0.00041,BJD_TDB,1,2020AJ….159..150P; 2017AJ….153...78C
WASP-012,-1631.0,2455230.40669,0.00019,BJD_TDB,1,2020AJ….159..150P; 2016A&A…588L...6M
WASP-012,-1609.0,2455254.41871,0.00043,BJD_TDB,1,2020AJ….159..150P; 2016A&A…588L...6M
WASP-012,-1389.0,2455494.52999,0.00072,BJD_TDB,1,2020AJ….159..150P; 2016A&A…588L...6M
WASP-012,-1385.0,2455498.8959,0.00079,BJD_TDB,1,2020AJ….159..150P; 2012PASP..124..212S
WASP-012,-1375.0,2455509.80971,0.00037,BJD_TDB,1,2020AJ….159..150P; 2017AJ….153...78C
WASP-012,-1374.0,2455510.90218,0.00031,BJD_TDB,1,2020AJ….159..150P; 2017AJ….153...78C
WASP-012,-1367.0,2455518.5407,0.0004,BJD_TDB,1,2020AJ….159..150P; 2012ApJ...747...82C
WASP-012,-1345.0,2455542.5521,0.0004,BJD_TDB,1,2020AJ….159..150P; 2012ApJ...747...82C
WASP-012,-1345.0,2455542.55273,0.00028,BJD_TDB,1,2020AJ….159..150P; 2016A&A…588L...6M
WASP-012,-1323.0,2455566.56385,0.00028,BJD_TDB,1,2020AJ….159..150P; 2016A&A…588L...6M
WASP-012,-1301.0,2455590.57561,0.00068,BJD_TDB,1,2020AJ….159..150P; 2016A&A…588L...6M
WASP-012,-1294.0,2455598.21552,0.00035,BJD_TDB,1,2020AJ….159..150P; 2016A&A…588L...6M
WASP-012,-1292.0,2455600.398,0.00029,BJD_TDB,1,2020AJ….159..150P; 2016A&A…588L...6M
WASP-012,-1291.0,2455601.4901,0.00024,BJD_TDB,1,2020AJ….159..150P; 2016A&A…588L...6M
WASP-012,-1289.0,2455603.67261,0.00029,BJD_TDB,1,2020AJ….159..150P; 2017AJ….153...78C
WASP-012,-1271.0,2455623.31829,0.00039,BJD_TDB,1,2020AJ….159..150P; 2016A&A…588L...6M
WASP-012,-1039.0,2455876.52786,0.00027,BJD_TDB,1,2020AJ….159..150P; 2016A&A…588L...6M
WASP-012,-1029.0,2455887.44198,0.00021,BJD_TDB,1,2020AJ….159..150P; 2016A&A…588L...6M
WASP-012,-1028.0,2455888.5334,0.00027,BJD_TDB,1,2020AJ….159..150P; 2016A&A…588L...6M
WASP-012,-1026.0,2455890.71635,0.00024,BJD_TDB,1,2020AJ….159..150P; 2016A&A…588L...6M
