BJD_TDB,NormFlux,NormFluxError
2459615.68015,0.9981,0.0011
2459615.68077,1.0025,0.0011
2459615.68138,1.0021,0.0011
2459615.68199,1.0024,0.0011
2459615.6826,0.9999,0.0011
2459615.68322,1.0009,0.0011
2459615.68383,1.0019,0.0011
2459615.68444,0.9975,0.0011
2459615.68506,1.0,0.0011
2459615.68567,0.9964,0.0011
2459615.68628,0.9968,0.0011
2459615.6869,1.0033,0.0011
2459615.68751,1.0014,0.0011
2459615.68813,0.9964,0.0011
2459615.68874,0.9941,0.0011
2459615.68935,0.9955,0.0011
2459615.68997,1.0011,0.0011
2459615.69058,0.9964,0.0011
2459615.69119,0.9951,0.0011
2459615.69181,0.9936,0.0011
2459615.69242,0.9964,0.0011
2459615.69303,0.9987,0.0011
2459615.69365,0.9943,0.0011
2459615.69426,0.9958,0.0011
2459615.69487,0.9938,0.0011
2459615.69549,0.9975,0.0011
2459615.6961,0.9949,0.0011
2459615.69671,0.9921,0.0011
2459615.69733,0.9952,0.0011
2459615.69794,0.9954,0.0011
2459615.69856,0.9962,0.0011
2459615.69917,0.9933,0.0011
2459615.69978,0.992,0.0011
2459615.7004,0.9951,0.0011
2459615.70101,0.9914,0.0011
2459615.70162,0.9963,0.0011
2459615.70224,0.9911,0.0011
2459615.70285,0.9937,0.0011
2459615.70346,0.992,0.0011
2459615.70408,0.9903,0.0011
2459615.70469,0.991,0.0011
2459615.7053,0.9927,0.0011
2459615.70592,0.9913,0.0011
2459615.70653,0.9917,0.0011
2459615.70714,0.9924,0.0011
2459615.70776,0.9935,0.0011
2459615.70837,0.992,0.0011
2459615.70898,0.9912,0.0011
2459615.7096,0.9951,0.0011
2459615.71021,0.991,0.0011
2459615.71082,0.9919,0.0011
2459615.71144,0.9974,0.0011
2459615.71205,0.9914,0.0011
2459615.71266,0.9907,0.0011
2459615.71328,0.9915,0.0011
2459615.71389,0.9943,0.0011
2459615.7145,0.9904,0.0011
2459615.71511,0.9933,0.0011
2459615.71573,0.9919,0.0011
2459615.71634,0.9902,0.0011
2459615.71695,0.9904,0.0011
2459615.71757,0.99,0.0011
2459615.71818,0.9905,0.0011
2459615.71879,0.9927,0.0011
2459615.71941,0.9928,0.0011
2459615.72002,0.9941,0.0011
2459615.72063,0.9883,0.0011
2459615.72125,0.9939,0.0011
2459615.72186,0.9917,0.0011
2459615.72247,0.9931,0.0011
2459615.72309,0.9906,0.0011
2459615.7237,0.9927,0.0011
2459615.72432,0.9937,0.0011
2459615.72493,0.991,0.0011
2459615.72554,0.9891,0.0011
2459615.72616,0.9905,0.0011
2459615.72677,0.9909,0.0011
2459615.72738,0.9902,0.0011
2459615.728,0.989,0.0011
2459615.72861,0.9907,0.0011
2459615.72922,0.9939,0.0012
2459615.72984,0.9885,0.0012
2459615.73045,0.9924,0.0012
2459615.73106,0.9935,0.0012
2459615.73168,0.9922,0.0012
2459615.73229,0.996,0.0012
2459615.7329,0.9925,0.0012
2459615.73352,0.9886,0.0011
2459615.73413,0.9884,0.0011
2459615.73474,0.9898,0.0011
2459615.73536,0.9904,0.0011
2459615.73597,0.9905,0.0011
2459615.73658,0.9925,0.0011
2459615.74643,1.0115,0.0011
2459615.74705,1.0106,0.0011
2459615.74766,1.0152,0.0011
2459615.74827,1.0114,0.0011
2459615.74888,1.0133,0.0011
2459615.7495,1.0124,0.0011
2459615.75011,1.0132,0.0011
2459615.75072,1.0161,0.0011
2459615.75134,1.0128,0.0011
2459615.75195,1.014,0.0011
2459615.75257,1.0151,0.0011
2459615.75318,1.0144,0.0011
2459615.75379,1.0114,0.0011
2459615.7544,1.0151,0.0011
2459615.75502,1.0133,0.0011
2459615.75563,1.0139,0.0011
2459615.75624,1.0128,0.0011
2459615.75686,1.0136,0.0011
2459615.75747,1.0141,0.0011
2459615.75809,1.0129,0.0011
2459615.7587,1.015,0.0011
2459615.75931,1.013,0.0011
2459615.75993,1.0112,0.0011
2459615.76054,1.0134,0.0011
2459615.76115,1.0149,0.0011
2459615.76177,1.0135,0.0011
2459615.76238,1.0134,0.0011
2459615.76299,1.012,0.0011
2459615.76361,1.0135,0.0011
2459615.76422,1.0145,0.0011
2459615.76483,1.0149,0.0011
2459615.76545,1.0154,0.0011
2459615.76606,1.0157,0.0011
2459615.76667,1.0111,0.0011
2459615.76729,1.0108,0.0011
2459615.7679,1.0161,0.0011
2459615.76851,1.011,0.0011
2459615.76913,1.0154,0.0011
2459615.76974,1.0097,0.0011
2459615.77035,1.012,0.0011
2459615.77097,1.0146,0.0011
2459615.77158,1.0131,0.0011
2459615.77219,1.0135,0.0011
2459615.77281,1.0167,0.0011
2459615.77342,1.0132,0.0011
2459615.77404,1.017,0.0011
