BJD_TDB,NormFlux,NormFluxError
2459616.7248,1.001,0.0011
2459616.72541,1.0014,0.0011
2459616.72603,1.0049,0.0013
2459616.72664,1.0015,0.0012
2459616.72725,0.9988,0.0012
2459616.72787,0.9991,0.0012
2459616.72848,0.9993,0.0012
2459616.72909,1.0,0.0012
2459616.72971,1.0043,0.0012
2459616.73032,0.9953,0.0012
2459616.73094,1.0006,0.0012
2459616.73155,0.9996,0.0012
2459616.73216,0.999,0.0011
2459616.73278,0.998,0.0015
2459616.73339,1.0034,0.0012
2459616.734,1.0025,0.0011
2459616.73461,1.0031,0.0011
2459616.73523,1.0025,0.0011
2459616.73584,1.0011,0.0012
2459616.73645,1.0001,0.0011
2459616.73707,1.0061,0.0012
2459616.73768,1.0033,0.0011
2459616.73829,0.9982,0.0012
2459616.73891,1.0001,0.0011
2459616.73952,1.001,0.0011
2459616.74013,1.0019,0.0011
2459616.74075,0.9976,0.0011
2459616.74136,1.0017,0.0012
2459616.74197,0.9991,0.0011
2459616.74259,1.001,0.0012
2459616.7432,1.0018,0.0012
2459616.74381,0.9996,0.0011
2459616.74443,1.0024,0.0012
2459616.74504,0.9998,0.0012
2459616.74565,0.9993,0.0011
2459616.74627,1.0009,0.0012
2459616.74688,1.0034,0.0012
2459616.74749,1.001,0.0011
2459616.74811,1.0054,0.0011
2459616.74872,1.0009,0.0011
2459616.74933,0.9999,0.0011
2459616.74995,1.0016,0.0011
2459616.75056,1.0013,0.0011
2459616.75117,1.0042,0.0012
2459616.75179,1.0008,0.0011
2459616.7524,1.0034,0.0011
2459616.75301,1.0003,0.0011
2459616.75363,0.9996,0.0011
2459616.75424,1.0017,0.0011
2459616.75485,1.0028,0.0011
2459616.75547,1.0022,0.0011
2459616.75608,1.0046,0.0011
2459616.75669,1.0029,0.0011
2459616.75731,0.9969,0.0011
2459616.75792,1.0021,0.0011
2459616.75853,1.0019,0.0011
2459616.75915,1.0013,0.0011
2459616.75976,1.0,0.0012
2459616.76037,1.0003,0.0011
2459616.76099,0.9995,0.0012
2459616.7616,0.9976,0.0011
2459616.76221,0.9979,0.0011
2459616.76283,0.996,0.0011
2459616.76344,0.9988,0.0011
2459616.76405,0.9997,0.0011
2459616.76467,0.9924,0.0011
2459616.76528,0.9935,0.0011
2459616.76589,0.9974,0.0011
2459616.76651,0.9933,0.0011
2459616.76712,0.9975,0.0011
2459616.76773,0.9945,0.0011
2459616.76835,0.9938,0.0011
2459616.76896,0.9929,0.0011
2459616.76957,0.9917,0.0011
2459616.77019,0.9935,0.0011
2459616.7708,0.9909,0.0011
2459616.77142,0.9912,0.0011
2459616.77203,0.9894,0.0011
2459616.77265,0.9892,0.0011
2459616.77326,0.9875,0.0011
2459616.77387,0.9896,0.0011
2459616.77449,0.9909,0.0011
2459616.7751,0.9863,0.0011
2459616.77571,0.9885,0.0011
2459616.77633,0.9908,0.0011
2459616.77694,0.9913,0.0011
2459616.77755,0.9883,0.0012
2459616.77817,0.9872,0.0011
2459616.77878,0.9877,0.0011
2459616.77939,0.9881,0.0011
2459616.78001,0.9889,0.0011
2459616.78062,0.9853,0.0011
2459616.78123,0.99,0.0011
2459616.78185,0.9852,0.0011
2459616.78246,0.9902,0.0013
2459616.78307,0.9855,0.0011
2459616.78369,0.9848,0.0011
2459616.7843,0.9854,0.0011
2459616.78491,0.9898,0.0011
2459616.78553,0.9909,0.0011
2459616.78614,0.9826,0.0011
2459616.78675,0.9841,0.0011
2459616.78737,0.9836,0.0011
2459616.78798,0.9884,0.0011
2459616.78859,0.9874,0.0011
2459616.78921,0.9878,0.0011
2459616.78982,0.9832,0.0011
2459616.79043,0.988,0.0011
2459616.79105,0.9835,0.0011
2459616.79166,0.9864,0.0011
2459616.79227,0.9862,0.0011
2459616.79289,0.9841,0.0011
2459616.7935,0.9873,0.0011
2459616.79411,0.9869,0.0011
