BJD_TDB,NormFlux,NormFluxError
2459777.71982,0.998,0.0014
2459777.72049,0.9958,0.0014
2459777.72116,0.9995,0.0014
2459777.72249,1.0012,0.0014
2459777.72315,1.0013,0.0014
2459777.72382,1.0014,0.0014
2459777.72448,1.0009,0.0014
2459777.72515,0.9965,0.0014
2459777.72582,0.9984,0.0014
2459777.72648,0.9995,0.0014
2459777.72715,1.0024,0.0014
2459777.72782,1.003,0.0014
2459777.72848,0.9969,0.0014
2459777.72915,1.0,0.0014
2459777.72982,1.0006,0.0014
2459777.73048,0.9958,0.0014
2459777.73115,0.9986,0.0014
2459777.73182,1.001,0.0014
2459777.73248,1.0012,0.0014
2459777.73315,0.9991,0.0014
2459777.73382,1.0007,0.0014
2459777.73449,1.0023,0.0014
2459777.73515,1.0033,0.0014
2459777.73581,0.9991,0.0014
2459777.73648,0.9973,0.0014
2459777.73714,1.0024,0.0014
2459777.73781,1.0029,0.0014
2459777.73848,1.0002,0.0014
2459777.73915,0.9998,0.0014
2459777.73981,1.0042,0.0014
2459777.74048,0.9967,0.0014
2459777.74115,0.9995,0.0014
2459777.74181,1.0,0.0014
2459777.74248,1.0048,0.0014
2459777.74314,1.0019,0.0014
2459777.7438,0.9958,0.0014
2459777.74447,1.0014,0.0014
2459777.74513,1.0011,0.0014
2459777.7458,1.0021,0.0014
2459777.74647,0.9959,0.0014
2459777.74714,1.0044,0.0014
2459777.7478,1.0028,0.0014
2459777.74847,1.0004,0.0014
2459777.74914,1.0031,0.0014
2459777.7498,1.0012,0.0014
2459777.75047,1.0029,0.0014
2459777.75114,1.0001,0.0014
2459777.75181,1.0016,0.0014
2459777.75247,0.9981,0.0014
2459777.75314,1.0025,0.0014
2459777.75381,0.9963,0.0014
2459777.75448,0.9971,0.0014
2459777.75515,0.9985,0.0014
2459777.75581,0.9967,0.0014
2459777.75647,0.9967,0.0014
2459777.75714,0.9955,0.0014
2459777.75781,0.9927,0.0014
2459777.75848,0.9956,0.0014
2459777.75915,0.9965,0.0014
2459777.75981,0.9925,0.0014
2459777.76048,0.9898,0.0014
2459777.76114,0.9922,0.0014
2459777.7618,0.993,0.0014
2459777.76247,0.9895,0.0014
2459777.76313,0.984,0.0014
2459777.7638,0.9861,0.0014
2459777.76447,0.9848,0.0014
2459777.76514,0.9908,0.0014
2459777.7658,0.989,0.0014
2459777.76647,0.9914,0.0014
2459777.76713,0.9886,0.0014
2459777.7678,0.9853,0.0014
2459777.76847,0.9895,0.0014
2459777.76913,0.9841,0.0014
2459777.7698,0.9853,0.0014
2459777.77047,0.9888,0.0014
2459777.77113,0.9846,0.0014
2459777.7718,0.9916,0.0014
2459777.77247,0.9865,0.0014
2459777.77313,0.985,0.0014
2459777.7738,0.9886,0.0014
2459777.77447,0.9881,0.0014
2459777.77513,0.9888,0.0014
2459777.7758,0.9867,0.0014
2459777.77647,0.9893,0.0014
2459777.77714,0.9867,0.0014
2459777.77781,0.9851,0.0014
2459777.77848,0.9858,0.0014
2459777.77914,0.9851,0.0014
2459777.77981,0.9873,0.0014
2459777.78047,0.9875,0.0014
2459777.78114,0.9842,0.0014
2459777.78181,0.9871,0.0014
2459777.78248,0.9862,0.0014
2459777.78314,0.9864,0.0014
2459777.78381,0.9858,0.0014
2459777.78448,0.9854,0.0014
2459777.78515,0.9836,0.0014
2459777.78581,0.9862,0.0014
2459777.78648,0.9881,0.0014
2459777.78715,0.9857,0.0014
2459777.78781,0.9876,0.0014
2459777.78848,0.9835,0.0014
2459777.78915,0.9876,0.0014
2459777.78981,0.986,0.0014
2459777.79048,0.9873,0.0014
2459777.79115,0.9884,0.0014
2459777.79181,0.9851,0.0014
2459777.79248,0.9848,0.0014
2459777.79315,0.9854,0.0014
2459777.79381,0.9866,0.0014
2459777.79447,0.9848,0.0014
2459777.79514,0.9853,0.0014
2459777.7958,0.9835,0.0014
2459777.79647,0.9892,0.0014
2459777.79714,0.9868,0.0014
2459777.7978,0.9875,0.0014
2459777.79847,0.9852,0.0014
2459777.79913,0.9835,0.0014
2459777.7998,0.9893,0.0014
2459777.80047,0.9861,0.0014
2459777.80114,0.9883,0.0014
2459777.80181,0.9855,0.0014
2459777.80248,0.9877,0.0014
2459777.80314,0.9866,0.0014
2459777.8038,0.9886,0.0014
2459777.80447,0.9855,0.0014
2459777.80514,0.9834,0.0014
2459777.80581,0.9847,0.0014
2459777.80714,0.987,0.0014
2459777.80781,0.9839,0.0014
2459777.80848,0.9869,0.0014
2459777.80915,0.9843,0.0014
2459777.80981,0.9878,0.0014
2459777.81048,0.9852,0.0014
2459777.81115,0.9833,0.0014
2459777.81181,0.9854,0.0014
2459777.81247,0.9833,0.0014
2459777.81314,0.989,0.0014
2459777.81381,0.9867,0.0014
2459777.81448,0.9908,0.0014
2459777.81514,0.9859,0.0014
2459777.81581,0.9854,0.0014
2459777.81647,0.9864,0.0014
2459777.81714,0.9909,0.0014
2459777.8178,0.9916,0.0014
2459777.81847,0.9907,0.0014
2459777.81913,0.9842,0.0014
2459777.8198,0.9888,0.0014
2459777.82047,0.9871,0.0014
2459777.82114,0.9892,0.0014
2459777.8218,0.9862,0.0014
2459777.82247,0.9897,0.0014
2459777.82314,0.9883,0.0014
2459777.82381,0.986,0.0014
2459777.82447,0.988,0.0014
2459777.82581,0.9885,0.0014
2459777.82648,0.9886,0.0014
2459777.82714,0.9885,0.0014
2459777.82781,0.9874,0.0014
2459777.82848,0.9909,0.0014
2459777.82914,0.9896,0.0014
2459777.82981,0.9885,0.0014
2459777.83047,0.9881,0.0014
2459777.83114,0.9866,0.0014
2459777.83181,0.9846,0.0014
2459777.83247,0.9928,0.0014
2459777.83314,0.9868,0.0014
2459777.83381,0.99,0.0014
2459777.83448,0.9912,0.0014
2459777.83514,0.9961,0.0014
2459777.83581,0.9981,0.0014
2459777.83648,0.9927,0.0014
2459777.83714,0.9956,0.0014
2459777.8378,0.9928,0.0014
2459777.83847,0.9945,0.0014
2459777.83913,0.9981,0.0014
2459777.83979,0.9949,0.0014
2459777.84046,0.9963,0.0014
2459777.84112,0.9997,0.0014
2459777.84178,1.0012,0.0014
2459777.84245,1.0023,0.0014
2459777.84311,1.0023,0.0014
2459777.84378,0.9991,0.0014
2459777.84445,0.9988,0.0014
2459777.84512,1.0008,0.0014
2459777.84578,1.0024,0.0014
2459777.84645,1.0013,0.0014
2459777.84711,1.002,0.0014
2459777.84777,1.0016,0.0014
2459777.8491,1.001,0.0014
2459777.84976,1.0002,0.0014
2459777.85042,1.0016,0.0014
2459777.85109,1.0013,0.0014
2459777.85175,0.9993,0.0014
2459777.85242,1.0008,0.0014
2459777.85308,0.9983,0.0014
2459777.85375,0.9989,0.0014
2459777.85441,1.002,0.0014
2459777.85574,1.0005,0.0014
2459777.85641,0.9996,0.0014
2459777.85707,1.0004,0.0014
2459777.85774,0.9998,0.0014
2459777.85841,0.9993,0.0014
2459777.85907,1.0017,0.0014
2459777.85974,0.9983,0.0014
2459777.8604,1.0006,0.0014
2459777.86107,1.0016,0.0014
2459777.86174,0.9989,0.0014
2459777.86241,1.0008,0.0014
2459777.86308,1.0003,0.0014
2459777.86374,0.9972,0.0014
2459777.86441,0.9947,0.0014
2459777.86508,1.0029,0.0014
2459777.86575,0.9958,0.0014
2459777.86641,0.9984,0.0014
2459777.86708,0.9967,0.0014
2459777.86774,0.9958,0.0014
2459777.86841,1.0003,0.0014
2459777.86908,0.9958,0.0014
2459777.86974,0.9994,0.0014
2459777.87041,0.9985,0.0014
2459777.87108,0.9985,0.0014
2459777.87175,0.9975,0.0014
2459777.87242,0.9985,0.0014
2459777.87374,0.9996,0.0014
2459777.87441,1.0017,0.0014
2459777.87507,1.0007,0.0014
2459777.87574,0.9998,0.0014
2459777.8764,0.9946,0.0014
2459777.87707,0.9981,0.0014
2459777.87774,1.0011,0.0014
2459777.8784,0.9977,0.0014
2459777.87906,1.0016,0.0014
2459777.87972,0.9967,0.0014
2459777.88039,0.9964,0.0014
