System,Orbit number,T_mid,Uncertainty (days),Time System,#,Reference
HAT-P-23,2118.0,2459069.471419,0.000264,BJD_TDB,1,2022A&A...667A.127M
HAT-P-23,2174.0,2459137.392604,0.000495,BJD_TDB,1,2022A&A...667A.127M
HAT-P-23,2391.0,2459400.589783,0.000295,BJD_TDB,1,2022A&A...667A.127M
HAT-P-23,2395.0,2459405.44103,0.000308,BJD_TDB,1,2022A&A...667A.127M
HAT-P-23,2400.0,2459411.505979,0.000447,BJD_TDB,1,2022A&A...667A.127M
HAT-P-23,2414.0,2459428.485508,0.000483,BJD_TDB,1,2022A&A...667A.127M
HAT-P-23,2442.0,2459462.446747,0.00029,BJD_TDB,1,2022A&A...667A.127M
HAT-P-23,2679.0,2459749.90138,0.0003,BJD_TDB,1,This Work
HAT-P-23,2693.0,2459766.88027,0.00043,BJD_TDB,1,This Work
HAT-P-23,2702.0,2459777.79718,0.00038,BJD_TDB,1,This Work
