BJD_TDB,NormFlux,NormFluxError
2459766.81746,0.9988,0.0013
2459766.81812,1.0,0.0013
2459766.81877,1.003,0.0013
2459766.81944,1.0,0.0013
2459766.82083,1.0013,0.0012
2459766.82156,0.9979,0.0012
2459766.82229,1.0005,0.0012
2459766.82304,1.0003,0.0011
2459766.82383,1.0014,0.0011
2459766.82462,0.9993,0.0011
2459766.82541,0.9974,0.0011
2459766.82619,0.9997,0.0011
2459766.82698,1.0001,0.0011
2459766.82777,1.0014,0.0011
2459766.82856,0.9996,0.0011
2459766.82935,1.0001,0.0011
2459766.83013,0.9994,0.0011
2459766.83092,0.9987,0.0011
2459766.83171,0.9971,0.0011
2459766.83249,1.001,0.0011
2459766.83328,0.997,0.0011
2459766.83407,0.9996,0.0011
2459766.83486,1.0008,0.0011
2459766.83564,0.9991,0.0011
2459766.83643,0.9947,0.0011
2459766.83722,0.9994,0.0011
2459766.83801,0.9976,0.0011
2459766.83879,0.9953,0.0011
2459766.83958,0.9975,0.0011
2459766.84037,0.997,0.0011
2459766.84116,0.9932,0.0011
2459766.84194,0.9934,0.0011
2459766.84273,0.9915,0.0011
2459766.84352,0.9895,0.0011
2459766.84431,0.9912,0.0011
2459766.84509,0.9894,0.0011
2459766.84588,0.985,0.0011
2459766.84667,0.9868,0.0011
2459766.84746,0.984,0.0011
2459766.84824,0.9854,0.0011
2459766.84903,0.986,0.0011
2459766.84982,0.9841,0.0011
2459766.8506,0.9873,0.0011
2459766.85139,0.9844,0.001
2459766.85218,0.9854,0.001
2459766.85297,0.9843,0.001
2459766.85375,0.9833,0.0011
2459766.85454,0.988,0.0011
2459766.85533,0.986,0.001
2459766.85612,0.984,0.001
2459766.85691,0.9862,0.001
2459766.8577,0.9894,0.0011
2459766.85848,0.9894,0.001
2459766.85927,0.9866,0.001
2459766.86006,0.9876,0.001
2459766.86085,0.9868,0.0011
2459766.86163,0.9853,0.0011
2459766.86242,0.9877,0.001
2459766.86321,0.9873,0.0011
2459766.86399,0.9868,0.0011
2459766.86478,0.9874,0.0011
2459766.86557,0.9855,0.001
2459766.86636,0.9866,0.001
2459766.86714,0.9869,0.0011
2459766.86793,0.9877,0.001
2459766.86872,0.9835,0.001
2459766.86951,0.9849,0.0011
2459766.87029,0.9849,0.0011
2459766.87108,0.9845,0.001
2459766.87187,0.9837,0.001
2459766.87266,0.9865,0.0011
2459766.87345,0.9863,0.0011
2459766.87423,0.9878,0.001
2459766.87502,0.9847,0.0011
2459766.87581,0.9852,0.001
2459766.8766,0.9851,0.001
2459766.87738,0.984,0.001
2459766.87817,0.9861,0.001
2459766.87896,0.9871,0.001
2459766.87974,0.9844,0.001
2459766.88053,0.9842,0.001
2459766.88132,0.9836,0.001
2459766.88211,0.9831,0.001
2459766.88289,0.9842,0.001
2459766.88368,0.9828,0.001
2459766.88447,0.9846,0.001
2459766.88526,0.9852,0.001
2459766.88604,0.9851,0.001
2459766.88683,0.9833,0.001
2459766.88762,0.9866,0.0011
2459766.88841,0.9841,0.001
2459766.8892,0.9846,0.001
2459766.88998,0.9831,0.001
2459766.89077,0.9849,0.001
2459766.89156,0.9834,0.001
2459766.89234,0.9863,0.001
2459766.89313,0.9822,0.001
2459766.89392,0.9832,0.001
2459766.89471,0.9845,0.001
2459766.89549,0.9837,0.001
2459766.89628,0.9834,0.001
2459766.89707,0.9825,0.001
2459766.89786,0.9807,0.001
2459766.89865,0.9817,0.001
2459766.89943,0.983,0.001
2459766.90022,0.981,0.001
2459766.90101,0.9818,0.001
2459766.9018,0.9839,0.001
2459766.90258,0.983,0.001
2459766.90337,0.9824,0.001
2459766.90416,0.9788,0.001
2459766.90495,0.9812,0.001
2459766.90573,0.9835,0.001
2459766.90652,0.9803,0.001
2459766.90731,0.984,0.001
2459766.90809,0.9814,0.001
2459766.90888,0.9817,0.001
2459766.90967,0.9831,0.001
2459766.91046,0.9836,0.001
2459766.91124,0.9842,0.001
2459766.91203,0.9812,0.001
2459766.91282,0.9828,0.001
2459766.9136,0.9836,0.001
2459766.91439,0.9862,0.001
2459766.91518,0.9859,0.001
2459766.91597,0.9848,0.001
2459766.91675,0.9834,0.001
2459766.91754,0.9864,0.001
2459766.91833,0.9872,0.001
2459766.91912,0.9897,0.001
2459766.9199,0.9896,0.001
2459766.92069,0.9916,0.0011
2459766.92148,0.9919,0.0011
2459766.92226,0.9941,0.0011
2459766.92305,0.9943,0.0011
2459766.92384,0.9967,0.0011
2459766.92463,0.9959,0.0011
2459766.92542,0.9962,0.0011
2459766.9262,0.9945,0.0011
