BJD_TDB,NormFlux,NormFluxError
2459759.77025,1.0034,0.0012
2459759.77091,1.0004,0.0012
2459759.77157,1.0005,0.0012
2459759.77223,1.0007,0.0012
2459759.77289,0.9993,0.0012
2459759.77355,0.999,0.0012
2459759.77421,1.0001,0.0012
2459759.77487,1.0,0.0012
2459759.77553,0.9973,0.0012
2459759.77619,0.9992,0.0012
2459759.77685,0.9996,0.0012
2459759.77751,0.9988,0.0012
2459759.77817,1.0025,0.0012
2459759.77883,1.0007,0.0012
2459759.77949,0.9988,0.0012
2459759.78015,1.0024,0.0012
2459759.78081,0.9988,0.0012
2459759.78147,1.0037,0.0012
2459759.78213,1.0046,0.0012
2459759.78279,1.0051,0.0012
2459759.78345,1.0,0.0012
2459759.78411,1.0037,0.0012
2459759.78477,1.0065,0.0012
2459759.78543,0.9986,0.0012
2459759.78609,1.0005,0.0012
2459759.78675,1.0016,0.0012
2459759.78741,1.0046,0.0012
2459759.78807,1.0007,0.0012
2459759.78873,0.998,0.0012
2459759.78939,0.9992,0.0012
2459759.79005,1.0012,0.0012
2459759.79071,0.9958,0.0012
2459759.79137,0.9958,0.0012
2459759.79203,0.9977,0.0012
2459759.79269,1.0021,0.0012
2459759.79335,1.0012,0.0012
2459759.79401,1.0024,0.0012
2459759.79467,1.0021,0.0012
2459759.79533,0.9953,0.0012
2459759.79599,0.9992,0.0012
2459759.79665,1.0002,0.0012
2459759.79731,0.9993,0.0012
2459759.79797,1.0,0.0012
2459759.79863,1.0015,0.0012
2459759.79929,1.0005,0.0012
2459759.79995,0.9967,0.0012
2459759.80061,0.9936,0.0012
2459759.80127,0.9934,0.0012
2459759.80193,0.998,0.0012
2459759.80258,0.9952,0.0012
2459759.80324,0.9945,0.0012
2459759.8039,0.9859,0.0012
2459759.80456,0.9902,0.0012
2459759.80522,0.9896,0.0012
2459759.80588,0.9922,0.0012
2459759.80654,0.9892,0.0012
2459759.8072,0.9869,0.0012
2459759.80786,0.9896,0.0012
2459759.80852,0.9899,0.0012
2459759.80918,0.9913,0.0012
2459759.80984,0.9919,0.0012
2459759.8105,0.9894,0.0012
2459759.81116,0.9913,0.0012
2459759.81182,0.9867,0.0012
2459759.81248,0.9874,0.0012
2459759.81314,0.988,0.0012
2459759.8138,0.987,0.0012
2459759.81446,0.987,0.0012
2459759.81512,0.9868,0.0012
2459759.81578,0.9846,0.0012
2459759.81644,0.9877,0.0012
2459759.8171,0.9874,0.0012
2459759.81776,0.9859,0.0012
2459759.81842,0.9905,0.0012
2459759.81908,0.9873,0.0012
2459759.81974,0.9878,0.0012
2459759.8204,0.9836,0.0012
