BJD_TDB,NormFlux,NormFluxError
2459676.71663,1.0004,0.002
2459676.7173,0.9935,0.002
2459676.71797,0.998,0.0021
2459676.71864,0.9917,0.0021
2459676.71931,1.0001,0.0021
2459676.71998,0.9959,0.0021
2459676.72065,0.9936,0.002
2459676.72133,1.0006,0.002
2459676.72288,0.9979,0.002
2459676.72356,1.0011,0.0021
2459676.72423,1.0021,0.0021
2459676.7249,1.0,0.002
2459676.72557,1.0,0.0021
2459676.72624,1.0018,0.0021
2459676.72691,1.0046,0.0021
2459676.72758,0.9998,0.002
2459676.72825,0.9934,0.002
2459676.72892,0.9962,0.002
2459676.7296,0.9956,0.002
2459676.73027,0.9961,0.0022
2459676.73094,1.001,0.002
2459676.73161,0.9983,0.0021
2459676.73228,0.9978,0.0021
2459676.73295,0.9936,0.002
2459676.73362,0.9981,0.002
2459676.73429,0.9955,0.002
2459676.73497,0.9987,0.0021
2459676.73564,1.0026,0.0021
2459676.73631,1.0014,0.0021
2459676.73698,1.0008,0.0022
2459676.73765,1.0017,0.0021
2459676.73832,1.0073,0.0021
2459676.73899,1.0029,0.0021
2459676.73966,1.005,0.0021
2459676.74033,1.0015,0.0021
2459676.74101,1.0076,0.0021
2459676.74168,1.0014,0.0021
2459676.74235,1.0064,0.0021
2459676.74302,0.9968,0.0021
2459676.74369,0.9989,0.0021
2459676.74436,0.9985,0.0021
2459676.74503,1.0014,0.0022
2459676.7457,0.9996,0.0021
2459676.74637,0.9992,0.0021
2459676.74705,0.999,0.0021
2459676.74772,0.9989,0.0021
2459676.74839,0.9973,0.0021
2459676.74906,1.0061,0.0021
2459676.74973,0.9952,0.0021
2459676.7504,1.0019,0.0021
2459676.75107,0.9987,0.0021
2459676.75174,1.0018,0.0022
2459676.75241,0.9981,0.0022
2459676.75309,0.9916,0.0021
2459676.75376,0.9906,0.0021
2459676.75443,0.9971,0.0021
2459676.7551,0.9886,0.0021
2459676.75577,0.9856,0.0021
2459676.75644,0.9808,0.0021
2459676.75711,0.9856,0.0021
2459676.75778,0.9819,0.0021
2459676.75845,0.9754,0.0021
2459676.75912,0.9742,0.0021
2459676.7598,0.9727,0.002
2459676.76047,0.975,0.0021
2459676.76114,0.9763,0.0021
2459676.76181,0.9723,0.0021
2459676.76248,0.9713,0.002
2459676.76315,0.9755,0.002
2459676.76382,0.9722,0.002
2459676.76449,0.977,0.0021
2459676.76584,0.9733,0.0021
2459676.76651,0.9685,0.002
2459676.76718,0.979,0.0021
2459676.76785,0.9705,0.0021
2459676.76852,0.9745,0.0021
2459676.76919,0.9697,0.0021
2459676.76986,0.9696,0.0021
2459676.77053,0.9752,0.0021
2459676.77121,0.9687,0.002
2459676.77188,0.9769,0.0021
2459676.77255,0.969,0.002
2459676.77389,0.9713,0.002
2459676.77456,0.9716,0.0021
2459676.77523,0.9724,0.0021
2459676.7759,0.972,0.0021
2459676.77657,0.9743,0.0021
2459676.77725,0.9767,0.0021
2459676.77792,0.9774,0.0021
2459676.77859,0.9782,0.0021
2459676.77926,0.9698,0.0021
2459676.77993,0.9757,0.0021
2459676.7806,0.9738,0.0021
2459676.78127,0.9718,0.0021
2459676.78194,0.9727,0.0021
2459676.78262,0.9745,0.0021
2459676.78329,0.9712,0.0021
2459676.78396,0.9768,0.0021
2459676.78463,0.9722,0.0021
2459676.7853,0.9757,0.0021
2459676.78597,0.972,0.0021
2459676.78664,0.9792,0.0021
2459676.78731,0.9784,0.0021
2459676.78799,0.9804,0.0021
2459676.78866,0.977,0.0021
2459676.78933,0.9831,0.0021
2459676.79,0.9821,0.0021
2459676.79067,0.99,0.0021
2459676.79134,0.9846,0.0021
2459676.79201,0.9879,0.0021
2459676.79269,0.9917,0.0021
2459676.79336,0.9889,0.0021
2459676.79403,0.994,0.0021
2459676.7947,0.9937,0.0021
2459676.79537,0.9898,0.0021
2459676.79604,0.9957,0.0021
2459676.79671,0.9913,0.0021
2459676.79738,0.995,0.0021
2459676.79806,0.9932,0.0021
2459676.79873,0.9959,0.0021
2459676.7994,0.9977,0.0021
2459676.80007,0.9972,0.0021
2459676.80074,0.9966,0.0021
2459676.80141,0.9918,0.0021
2459676.80208,1.0002,0.0022
2459676.80276,0.9969,0.0021
2459676.80343,0.9977,0.0022
2459676.8041,1.0011,0.0022
2459676.80477,1.0002,0.0022
2459676.80544,1.0024,0.0022
2459676.80611,0.9988,0.0022
2459676.80678,0.9998,0.0022
2459676.80745,0.9971,0.0022
2459676.80812,1.0018,0.0022
2459676.8088,0.9926,0.0022
2459676.80947,0.9994,0.0022
2459676.81014,0.9946,0.0022
2459676.81081,0.9976,0.0022
2459676.81148,1.0015,0.0022
2459676.81215,0.9997,0.0022
2459676.81282,0.9983,0.0022
2459676.81349,1.0011,0.0022
2459676.81416,1.0044,0.0022
2459676.81484,1.0008,0.0022
2459676.81551,1.0035,0.0022
2459676.81618,0.9986,0.0022
2459676.81685,1.0025,0.0022
2459676.81752,0.9971,0.0022
2459676.81819,1.0054,0.0023
2459676.81886,0.9989,0.0022
2459676.81954,1.0009,0.0022
2459676.82021,1.0072,0.0023
2459676.82088,1.0082,0.0023
2459676.82155,0.9998,0.0023
2459676.82222,0.9991,0.0023
2459676.82289,0.999,0.0023
2459676.82356,1.0003,0.0023
2459676.82423,1.003,0.0023
2459676.8249,1.0055,0.0023
2459676.82557,1.001,0.0023
