BJD_TDB,NormFlux,NormFluxError
2459663.71062,0.9993,0.0016
2459663.71129,1.004,0.0017
2459663.71196,1.002,0.0016
2459663.71263,0.9972,0.0016
2459663.7133,1.0018,0.0016
2459663.71397,0.9995,0.0016
2459663.71464,0.9976,0.0016
2459663.71531,1.0008,0.0016
2459663.71599,0.9995,0.0016
2459663.71666,1.0014,0.0016
2459663.71733,1.0016,0.0016
2459663.718,0.9984,0.0016
2459663.71867,1.0008,0.0016
2459663.71934,1.0,0.0016
2459663.72001,0.9955,0.0016
2459663.72068,0.9969,0.0016
2459663.72136,0.9966,0.0016
2459663.72203,1.0,0.0016
2459663.7227,0.9998,0.0016
2459663.72337,1.003,0.0016
2459663.72404,0.9979,0.0016
2459663.72471,0.9986,0.0016
2459663.72538,0.9964,0.0016
2459663.72605,0.9927,0.0019
2459663.72672,0.9989,0.0017
2459663.7274,0.9981,0.0016
2459663.72807,0.9957,0.0016
2459663.72874,1.0018,0.0016
2459663.73008,0.9991,0.0016
2459663.73075,0.998,0.0016
2459663.73143,0.9966,0.0016
2459663.7321,0.9998,0.0016
2459663.73277,0.9953,0.0016
2459663.73344,1.0014,0.0016
2459663.73411,0.9919,0.0016
2459663.73478,0.9957,0.0016
2459663.73545,0.9892,0.0016
2459663.73612,0.9932,0.0016
2459663.73679,0.9975,0.0016
2459663.73747,0.9937,0.0016
2459663.73814,0.9877,0.0016
2459663.73881,0.9861,0.0016
2459663.73948,0.9856,0.0016
2459663.74015,0.9849,0.0016
2459663.74082,0.9813,0.0016
2459663.74149,0.979,0.0016
2459663.74283,0.9808,0.0016
2459663.74351,0.974,0.0016
2459663.74418,0.9796,0.0017
2459663.74485,0.9748,0.0016
2459663.74552,0.9785,0.0016
2459663.74619,0.9745,0.0016
2459663.74686,0.9712,0.0016
2459663.74753,0.9696,0.0016
2459663.7482,0.9739,0.0016
2459663.74887,0.9748,0.0016
2459663.74955,0.9734,0.0016
2459663.75022,0.9773,0.0016
2459663.75089,0.9751,0.0016
2459663.75156,0.973,0.0016
2459663.75223,0.9704,0.0016
2459663.7529,0.9771,0.0016
2459663.75357,0.9697,0.0016
2459663.75424,0.9733,0.0016
2459663.75492,0.973,0.0016
2459663.75559,0.976,0.0016
2459663.75626,0.9713,0.0016
2459663.75693,0.9712,0.0016
2459663.7576,0.9697,0.0016
2459663.75827,0.9744,0.0016
2459663.75895,0.9731,0.0016
2459663.75962,0.9726,0.0016
2459663.76029,0.9697,0.0016
2459663.76096,0.9728,0.0016
2459663.76164,0.973,0.0016
2459663.76231,0.9707,0.0016
2459663.76298,0.9743,0.0016
2459663.76365,0.976,0.0016
2459663.76432,0.9738,0.0016
2459663.765,0.974,0.0016
2459663.76567,0.974,0.0016
2459663.76634,0.9726,0.0016
2459663.76701,0.974,0.0016
2459663.76768,0.9703,0.0016
2459663.76835,0.9739,0.0016
2459663.76902,0.9741,0.0016
2459663.76969,0.9737,0.0016
2459663.77036,0.9756,0.0016
2459663.77104,0.978,0.0016
2459663.77171,0.9768,0.0016
2459663.77238,0.9792,0.0016
2459663.77305,0.9815,0.0016
2459663.77372,0.9815,0.0016
2459663.77439,0.9852,0.0016
2459663.77506,0.9835,0.0016
2459663.77573,0.9854,0.0016
2459663.7764,0.9879,0.0016
2459663.77708,0.992,0.0016
2459663.77775,0.9922,0.0016
2459663.77842,0.9897,0.0016
2459663.77909,0.993,0.0016
2459663.77976,0.996,0.0016
2459663.78043,0.9932,0.0016
2459663.78111,0.9964,0.0016
2459663.78178,1.0003,0.0016
2459663.78245,0.9944,0.0016
2459663.78312,0.9991,0.0016
2459663.78379,1.0008,0.0017
2459663.78446,0.9982,0.0016
2459663.78513,0.999,0.0016
2459663.78581,0.9931,0.0016
2459663.78648,0.9992,0.0016
2459663.78715,0.9995,0.0016
2459663.78782,0.9992,0.0016
2459663.78849,0.9976,0.0016
2459663.78916,0.9985,0.0016
2459663.78983,0.9983,0.0016
2459663.7905,0.9999,0.0016
2459663.79117,0.9974,0.0016
2459663.79185,0.9995,0.0016
2459663.79252,0.9953,0.0016
2459663.79319,0.996,0.0016
2459663.79386,0.996,0.0016
2459663.79453,0.9999,0.0016
2459663.7952,0.9984,0.0016
2459663.79587,0.9965,0.0016
2459663.79721,1.0002,0.0016
2459663.79789,0.9973,0.0016
2459663.79856,0.999,0.0016
2459663.79923,0.9975,0.0016
2459663.7999,0.999,0.0016
2459663.80057,0.9999,0.0016
2459663.80124,0.9975,0.0016
2459663.80191,0.999,0.0016
2459663.80258,0.9995,0.0017
2459663.80393,0.9985,0.0017
