System,Time(BJD_TDB),RV(m/s),σ(m/s),Citation
WASP-012,2455928.87074,90.43,2.34,2012ApJ...757...18A
WASP-012,2455928.87658,78.93,2.18,2012ApJ...757...18A
WASP-012,2455928.88231,67.1,2.16,2012ApJ...757...18A
WASP-012,2455928.88815,59.13,2.13,2012ApJ...757...18A
WASP-012,2455928.89384,58.5,2.25,2012ApJ...757...18A
WASP-012,2455928.89964,39.06,2.14,2012ApJ...757...18A
WASP-012,2455928.90566,39.31,2.09,2012ApJ...757...18A
WASP-012,2455928.91223,32.71,2.26,2012ApJ...757...18A
WASP-012,2455928.91856,20.72,2.23,2012ApJ...757...18A
WASP-012,2455928.92449,5.93,2.24,2012ApJ...757...18A
WASP-012,2455928.93043,-0.54,2.03,2012ApJ...757...18A
WASP-012,2455928.93612,-2.17,2.2,2012ApJ...757...18A
WASP-012,2455928.94171,-24.69,2.12,2012ApJ...757...18A
WASP-012,2455928.94739,-14.93,2.09,2012ApJ...757...18A
WASP-012,2455928.95306,-23.61,2.41,2012ApJ...757...18A
WASP-012,2455928.95871,-35.29,2.16,2012ApJ...757...18A
WASP-012,2455928.96435,-40.71,2.08,2012ApJ...757...18A
WASP-012,2455928.96988,-40.64,2.27,2012ApJ...757...18A
WASP-012,2455928.97556,-44.43,2.1,2012ApJ...757...18A
WASP-012,2455928.98115,-47.56,2.2,2012ApJ...757...18A
WASP-012,2455928.98681,-50.9,2.08,2012ApJ...757...18A
WASP-012,2455928.99257,-55.65,2.28,2012ApJ...757...18A
WASP-012,2455928.99857,-66.14,2.2,2012ApJ...757...18A
WASP-012,2455929.00492,-77.73,2.24,2012ApJ...757...18A
WASP-012,2455929.01118,-78.05,2.39,2012ApJ...757...18A
WASP-012,2455929.0181,-96.2,2.32,2012ApJ...757...18A
WASP-012,2455929.02487,-94.38,2.38,2012ApJ...757...18A
WASP-012,2457853.745487,164.479,2.941,2020ApJ...888L...5Y
WASP-012,2457854.749059,26.408,2.898,2020ApJ...888L...5Y
WASP-012,2458532.84841,212.65,2.978,2020ApJ...888L...5Y
WASP-012,2456294.637014,-78.1,2.8,2020ApJ...889...54M
WASP-012,2456321.513859,258.0,3.3,2020ApJ...889...54M
WASP-012,2456374.469642,-197.8,3.3,2020ApJ...889...54M
WASP-012,2456411.392928,-44.5,3.1,2020ApJ...889...54M
WASP-012,2456635.641731,79.6,10.5,2020ApJ...889...54M
WASP-012,2456647.492182,-119.8,5.5,2020ApJ...889...54M
WASP-012,2456647.713618,149.7,4.4,2020ApJ...889...54M
WASP-012,2456685.329266,-37.8,9.5,2020ApJ...889...54M
WASP-012,2456685.539009,-190.0,4.5,2020ApJ...889...54M
WASP-012,2456740.407717,48.7,3.3,2020ApJ...889...54M
WASP-012,2456756.38179,-153.3,4.0,2020ApJ...889...54M
WASP-012,2456757.427242,-100.6,16.1,2020ApJ...889...54M
WASP-012,2456759.411696,120.0,7.3,2020ApJ...889...54M
WASP-012,2456770.36748,66.8,2.4,2020ApJ...889...54M
WASP-012,2457066.463996,-198.6,10.2,2020ApJ...889...54M
WASP-012,2457135.373626,-112.3,3.7,2020ApJ...889...54M
WASP-012,2458073.663121,-107.0,4.2,2020ApJ...889...54M
WASP-043,2455594.848273,-248.0,21.0,2012A&A...542A...4G
WASP-043,2455604.73039,-476.0,19.0,2012A&A...542A...4G
WASP-043,2455605.677373,-189.0,15.0,2012A&A...542A...4G
WASP-043,2455626.663879,-450.0,18.0,2012A&A...542A...4G
WASP-043,2455627.670365,-86.0,21.0,2012A&A...542A...4G
WASP-043,2455628.713064,614.0,18.0,2012A&A...542A...4G
WASP-043,2455629.686781,285.0,17.0,2012A&A...542A...4G
WASP-043,2455632.715791,547.0,22.0,2012A&A...542A...4G
WASP-043,2455205.76014,491.0,13.0,2011A&A...535L...7H
WASP-043,2455325.62394,-492.0,21.0,2011A&A...535L...7H
WASP-043,2455327.57524,119.0,26.0,2011A&A...535L...7H
WASP-043,2455328.54484,482.0,14.0,2011A&A...535L...7H
WASP-043,2455334.50374,-272.0,18.0,2011A&A...535L...7H
WASP-043,2455359.48314,523.0,22.0,2011A&A...535L...7H
WASP-043,2455362.53404,27.0,31.0,2011A&A...535L...7H
WASP-043,2455364.46034,287.0,17.0,2011A&A...535L...7H
WASP-043,2455375.47484,-281.0,18.0,2011A&A...535L...7H
WASP-043,2455376.49184,513.0,45.0,2011A&A...535L...7H
WASP-043,2455378.48444,-445.0,18.0,2011A&A...535L...7H
WASP-043,2455379.52534,-355.0,21.0,2011A&A...535L...7H
WASP-043,2455380.49114,267.0,21.0,2011A&A...535L...7H
WASP-043,2455391.46244,-320.0,28.0,2011A&A...535L...7H
WASP-043,2455392.46094,-537.0,21.0,2011A&A...535L...7H
WASP-043,2456363.415882,386.4,11.1,2017A&A...601A..53E
WASP-043,2456363.421396,345.5,12.0,2017A&A...601A..53E
WASP-043,2456363.426923,341.5,11.5,2017A&A...601A..53E
WASP-043,2456363.432437,332.2,9.6,2017A&A...601A..53E
WASP-043,2456363.437951,291.7,9.3,2017A&A...601A..53E
WASP-043,2456363.44346,278.0,9.1,2017A&A...601A..53E
WASP-043,2456363.448974,252.8,9.2,2017A&A...601A..53E
WASP-043,2456363.454484,222.7,9.3,2017A&A...601A..53E
WASP-043,2456363.459988,204.0,8.8,2017A&A...601A..53E
